country,year,stress_men,stress_woman,media_men,media_woman,internet_men,internet_woman,relig_men,relig_woman,social_men,social_woman,finvul_men,finvul_woman,ideological_men,ideological_woman,trust_men,trust_woman
PT,2016,4.37,4.13,,,4.21,3.83,2.87,3.82,3.85,3.63,3.98,3.5,2.86,2.95,3.07,3.09
RU,2016,4.01,3.82,,,4.05,3.64,2.28,2.93,3.14,3.16,3.59,3.12,3.92,3.95,3.0,3.1
SE,2016,4.89,4.66,,,5.32,5.32,1.96,2.29,4.0,4.08,4.67,4.6,2.81,2.64,3.94,3.95
SI,2016,4.63,4.47,,,4.3,4.03,2.53,3.05,3.52,3.42,4.11,4.0,3.34,3.19,2.97,3.05
AGGREGATE,2018,4.58,4.39,,,4.73,4.54,2.54,3.03,3.57,3.53,4.02,3.75,3.18,3.11,3.59,3.55
AT,2018,4.79,4.7,,,4.75,4.53,2.66,3.14,3.73,3.75,3.99,3.82,3.2,3.03,4.07,4.04
BE,2018,4.71,4.53,,,5.15,4.91,2.34,2.7,3.72,3.73,4.19,3.99,2.92,2.83,3.67,3.71
BG,2018,3.68,3.45,,,3.58,3.4,2.41,3.0,3.33,3.25,2.84,2.61,3.81,3.69,2.46,2.51
CH,2018,5.05,4.9,,,5.33,5.14,2.61,2.99,3.83,3.87,4.33,4.1,2.97,2.8,4.29,4.23
CY,2018,4.62,4.36,,,4.11,3.85,3.88,4.46,3.22,3.02,3.65,3.25,3.52,3.54,3.09,3.1
CZ,2018,4.39,4.31,,,4.78,4.52,1.67,1.99,3.26,3.36,3.86,3.58,3.6,3.48,3.45,3.42
DE,2018,4.66,4.43,,,5.11,4.95,2.42,2.77,3.8,3.8,4.41,4.3,2.87,2.74,3.9,3.83
DK,2018,5.15,4.98,,,5.54,5.44,2.08,2.46,3.93,4.04,4.56,4.43,2.85,2.62,4.47,4.49
EE,2018,4.41,4.32,,,4.91,4.6,1.99,2.43,3.18,3.2,4.0,3.73,3.59,3.44,3.74,3.86
ES,2018,4.63,4.4,,,4.89,4.61,2.22,2.93,3.78,3.68,4.04,3.68,2.74,2.74,3.38,3.31
FI,2018,4.93,4.79,,,5.32,5.26,2.42,2.97,3.64,3.74,4.33,4.11,3.11,2.9,4.39,4.35
FR,2018,4.48,4.16,,,4.88,4.59,2.29,2.71,3.72,3.69,4.01,3.64,2.87,2.85,3.58,3.52
GB,2018,4.57,4.43,,,5.02,5.05,2.2,2.6,3.55,3.69,4.17,3.98,2.89,2.78,3.61,3.63
HR,2018,4.65,4.52,,,4.56,4.52,3.07,3.69,3.61,3.45,3.95,3.62,3.35,3.27,2.55,2.59
HU,2018,4.14,4.08,,,4.07,3.95,2.21,2.76,2.96,2.85,3.66,3.52,3.78,3.81,3.62,3.66
IE,2018,4.71,4.56,,,4.56,4.86,3.2,3.6,3.48,3.52,3.96,3.7,2.77,2.73,3.6,3.56
IS,2018,5.08,4.96,,,5.48,5.58,2.31,2.94,3.81,4.07,4.78,4.51,2.51,2.32,4.07,4.0
IT,2018,4.36,4.21,,,4.51,4.09,3.06,3.59,3.46,3.36,3.69,3.58,3.4,3.34,3.52,3.5
LT,2018,3.99,4.04,,,3.78,3.87,2.74,3.52,3.01,3.1,3.31,3.17,3.72,3.61,3.17,3.43
LV,2018,4.23,4.09,,,4.49,4.18,2.3,2.94,3.14,3.2,3.32,3.08,3.45,3.39,3.07,3.11
ME,2018,4.71,4.57,,,4.37,4.35,3.02,3.23,3.64,3.5,3.75,3.73,3.5,3.43,2.97,3.15
NL,2018,4.79,4.61,,,5.43,5.49,2.22,2.5,3.91,4.03,4.77,4.46,2.83,2.71,4.22,4.13
NO,2018,5.04,4.83,,,5.73,5.69,2.0,2.38,3.93,4.09,4.42,4.28,2.81,2.55,4.37,4.44
PL,2018,4.58,4.44,,,4.32,4.1,3.57,4.17,3.31,3.2,3.92,3.7,3.4,3.37,3.13,3.26
PT,2018,4.48,4.23,,,4.51,4.23,2.87,3.64,3.81,3.59,3.86,3.57,2.88,2.89,3.2,3.17
RS,2018,4.22,3.99,,,3.65,3.55,3.09,3.48,3.56,3.39,3.61,3.33,3.68,3.5,2.92,2.97
SE,2018,4.93,4.73,,,5.45,5.42,2.01,2.26,3.99,4.1,4.64,4.5,2.76,2.57,4.1,4.04
SI,2018,4.73,4.56,,,4.55,4.38,2.43,2.99,3.52,3.4,4.29,4.01,3.36,3.23,3.11,3.13
SK,2018,4.12,4.07,,,3.41,3.4,3.32,3.84,3.11,3.07,3.72,3.57,3.72,3.65,3.08,3.15
AGGREGATE,2020,4.5,4.31,,,5.0,4.94,2.54,2.95,3.46,3.42,4.1,3.86,3.07,2.98,3.5,3.48
AT,2020,4.72,4.5,,,5.31,5.22,2.35,2.73,3.45,3.55,4.54,4.3,2.94,2.78,3.74,3.62
BE,2020,4.76,4.55,,,5.43,5.19,2.17,2.55,3.74,3.77,4.4,4.17,2.81,2.76,3.67,3.65
BG,2020,4.18,3.9,,,4.38,4.46,2.43,3.17,3.52,3.44,3.45,3.13,3.49,3.31,2.53,2.62
CH,2020,5.07,4.92,,,5.44,5.35,2.57,2.94,3.74,3.77,4.41,4.23,2.91,2.73,4.33,4.33
CY,2020,4.41,4.2,,,5.35,5.51,3.3,3.63,3.2,3.19,3.95,3.64,3.17,3.04,2.9,2.72
CZ,2020,4.45,4.33,,,5.0,5.01,1.62,1.89,3.31,3.32,3.85,3.51,3.52,3.37,3.64,3.62
DE,2020,4.35,4.16,,,5.3,5.23,2.21,2.45,3.53,3.54,4.43,4.25,2.81,2.66,3.79,3.77
EE,2020,4.56,4.46,,,4.95,4.89,1.96,2.44,3.09,3.25,4.21,4.05,3.35,3.23,3.92,3.96
ES,2020,4.35,4.11,,,5.18,5.12,2.22,2.67,3.57,3.58,3.91,3.77,2.57,2.46,3.1,3.1
FI,2020,4.9,4.81,,,5.41,5.41,2.27,2.76,3.52,3.6,4.36,4.17,3.0,2.78,4.54,4.56
FR,2020,4.63,4.31,,,5.16,5.06,2.32,2.63,3.74,3.69,4.5,4.18,2.85,2.77,3.59,3.56
GB,2020,4.54,4.27,,,5.15,5.09,2.07,2.51,3.49,3.59,4.35,4.0,2.75,2.7,3.57,3.53
GR,2020,4.32,4.1,,,4.79,4.64,3.48,3.99,3.14,2.95,3.41,3.26,3.19,3.14,3.82,3.78
HR,2020,4.72,4.63,,,4.56,4.59,3.09,3.65,3.59,3.38,4.09,3.92,3.34,3.15,2.66,2.76
HU,2020,4.39,4.34,,,4.24,4.25,2.27,2.78,3.0,2.91,3.72,3.64,3.5,3.5,3.62,3.66
IE,2020,4.77,4.57,,,4.81,5.02,3.17,3.45,3.3,3.29,3.99,3.68,2.82,2.79,3.81,3.73
IL,2020,4.6,4.44,,,5.36,5.33,3.07,3.23,3.55,3.47,3.74,3.36,3.19,3.26,2.86,2.83
IS,2020,5.0,4.87,,,5.59,5.7,2.36,2.82,3.77,3.93,4.4,4.34,2.57,2.43,4.06,4.15
IT,2020,4.49,4.24,,,4.81,4.51,2.87,3.53,3.45,3.32,3.96,3.77,3.12,3.03,3.5,3.45
LT,2020,4.26,4.13,,,4.57,4.49,2.55,3.31,3.04,3.13,3.85,3.47,3.44,3.45,3.53,3.49
LV,2020,4.06,3.9,,,5.3,5.45,2.16,2.6,2.92,2.98,3.8,3.54,3.33,3.19,2.98,3.12
ME,2020,4.53,4.53,,,4.63,4.83,3.28,3.37,3.56,3.41,3.62,3.54,3.43,3.32,2.97,2.92
MK,2020,4.4,4.27,,,4.11,4.24,3.58,3.81,3.1,2.95,3.38,3.22,3.86,3.84,2.65,2.74
NL,2020,4.81,4.63,,,5.75,5.71,2.19,2.33,3.98,4.03,4.81,4.59,2.75,2.65,4.24,4.16
NO,2020,4.99,4.82,,,5.78,5.79,1.99,2.26,3.83,3.96,4.49,4.4,2.75,2.56,4.52,4.53
PL,2020,4.26,4.02,,,4.72,4.7,3.34,3.7,3.19,3.07,3.9,3.65,3.17,2.97,2.64,2.64
PT,2020,4.36,4.11,,,4.3,4.08,2.77,3.6,3.54,3.41,3.74,3.29,2.89,2.92,3.2,3.2
RS,2020,4.08,3.83,,,4.6,4.96,3.04,3.27,3.47,3.4,3.98,3.78,3.27,3.24,2.7,2.66
SE,2020,4.56,4.34,,,5.57,5.59,1.8,2.11,3.71,3.83,4.56,4.41,2.88,2.6,3.81,3.8
SI,2020,4.76,4.7,,,4.8,4.71,2.5,2.94,3.48,3.43,4.27,4.13,3.2,3.07,3.14,3.27
SK,2020,4.17,4.1,,,4.06,3.87,3.21,3.78,3.1,3.06,3.78,3.6,3.48,3.43,2.98,3.05
